100;0.5000;3.10;928.34
200;0.5000;1.99;313.48
300;0.5000;2.08;207.50
400;0.5000;2.46;149.07
500;0.5000;2.49;115.77
600;0.5000;2.95;96.54
700;0.5000;2.29;78.84
800;0.5000;2.32;68.55
900;0.5000;2.34;63.18
1000;0.5000;2.46;56.48
1100;0.5000;3.16;52.31
1200;0.5000;2.3615;47.6239
1300;0.5000;1.9304;44.3233
1400;0.5000;1.9677;41.6116
1500;0.5000;1.9927;38.3009
1600;0.5000;2.3710;36.6199
1700;0.5000;1.8800;34.8718
1800;0.5000;1.9313;34.0307
1900;0.5000;1.8723;31.0389
2000;0.5000;1.8766;30.9227
2100;0.5000;1.8961;29.9374
2200;0.5000;1.8935;28.8982
2300;0.5000;2.0858;28.5866
2400;0.5000;2.2420;26.8082
2500;0.5000;2.2819;26.2473
2600;0.5000;2.8831;25.8610
2700;0.5000;4.7794;25.3054
2800;0.5000;4.6616;24.8993
2900;0.5000;4.8622;24.6120
3000;0.5000;2.9490;23.5021
3000;0.5000;2.4225;23.3432
3100;0.5000;2.0126;22.8616
3200;0.5000;2.0333;21.8953
3300;0.5000;2.1532;22.9555
3400;0.5000;2.0192;22.6372
3500;0.5000;2.5673;21.9024
3600;0.5000;2.2069;20.8776
3700;0.5000;1.7720;21.4942
3800;0.5000;4.4611;20.3261
3900;0.5000;2.0745;20.8915
4000;0.5000;1.9676;20.7780
4100;0.5000;2.0329;19.7443
4200;0.5000;1.8316;18.5701
4300;0.5000;1.9067;19.7721
4400;0.5000;1.9515;19.4581
4500;0.5000;2.0067;19.5960
4600;0.5000;2.1885;19.4904
4700;0.5000;2.0407;18.2838
4800;0.5000;1.9897;18.2797
4900;0.5000;2.0115;18.9142
5000;0.5000;2.1374;18.4350
5100;0.5000;2.4286;17.3878
5200;0.5000;2.0604;17.9189
5300;0.5000;2.0464;18.1703
5400;0.5000;2.2977;16.9520
5500;0.5000;1.7401;17.3002
5600;0.5000;1.7327;17.2333
5700;0.5000;1.9718;17.5690
5800;0.5000;1.9770;16.6830
5900;0.5000;3.4238;16.7022
6000;0.5000;2.7925;16.5561
6100;0.5000;1.7927;16.5580
6200;0.5000;1.9472;16.7077
6300;0.5000;1.9966;17.1271
6400;0.5000;2.0092;17.0788
6500;0.5000;2.0419;15.9541
6600;0.5000;2.0487;15.9597
6700;0.5000;2.0510;16.2933
6800;0.5000;1.9740;15.2201
6900;0.5000;2.0170;16.2433
7000;0.5000;2.0329;15.9238
7100;0.5000;2.0588;15.4399
7200;0.5000;2.2698;15.4080
7300;0.5000;2.0552;15.2388
7400;0.5000;2.0613;15.0174
7500;0.5000;1.9896;14.7827
7600;0.5000;2.0352;14.6017
7700;0.5000;2.0274;15.8728
7800;0.5000;2.0302;15.3266
7900;0.5000;2.0635;14.7858
8000;0.5000;2.0979;14.7997
8100;0.5000;2.0729;14.7271
8200;0.5000;2.0795;14.9890
8300;0.4950;2.0612;15.6035
8400;0.4901;2.0625;14.8748
8500;0.4901;2.0651;14.7786
8600;0.4901;2.0481;14.6893
8700;0.4901;2.0663;14.3186
8800;0.4901;1.9669;14.1816
8900;0.4901;1.9440;14.0348
9000;0.4901;1.9741;14.9303
9100;0.4901;2.0495;14.0344
9200;0.4901;2.0509;14.2000
9300;0.4901;2.0566;14.5637
9400;0.4901;2.0260;13.7491
9500;0.4901;2.0887;13.5944
9600;0.4901;2.0519;14.1951
9700;0.4901;2.1643;13.8166
9800;0.4901;2.0567;13.6304
9900;0.4901;2.0278;13.8527
10000;0.4901;2.0634;13.5939
10100;0.4901;1.9595;13.6307
10200;0.4901;1.7508;14.0588
10300;0.4901;2.0505;13.6844
10400;0.4901;2.0666;13.9234
10500;0.4901;2.0240;13.3615
10600;0.4901;2.0007;13.2836
10700;0.4901;2.0167;13.2779
10800;0.4901;2.0873;13.4995
10900;0.4851;2.0086;12.7506
11000;0.4851;2.1200;13.4449
11100;0.4851;2.1434;12.7127
11200;0.4851;2.1793;13.3215
11300;0.4851;2.2934;13.0539
